,text,misinformation,index
10,"Kkkkkk que eu acho que nem o Bolsonaro estava a esperar! Basta ouvir a Music For Bolsonaro, que já circula pelo planeta, gravada por artistas cubanos nos Estados Unidos, está a inundar rádios pelo mundo inteiro: Viva la Mito! Bolsonaro 2018 Presidente do Brasil! Vai soar como carros e casas.",1,17
11,"Se pensam que o vosso Whatsapp está a fazer furar, olhem para aquela cara ali.",0,18
12,(Risos) (Aplausos) (Aplausos) (Aplausos) (Aplausos) (Aplausos) (Aplausos) (Aplausos) (Aplausos) (Aplausos),0,19
13,"Rector da UFRJ responsável pelo mantenimiento e apoio do Museu Nacional: Rector: ROBERTO LEHER - associado à PSOL; Vice-Rector: DENISE FERNANDES LOPEZ - associado à PSOL; Rector de pós-graduação: EDUARDO GONCALVES - associado à PCB; Pro-Rector de planeamento, desenvolvimento e finanças: ROBERTO ANTONIO GAMBINE MOREIRA - associado à PC DO B; Pro-Rector de Extensão: MARIA MELLO DE MALTA - associado à PSOL; Pro-Rector do Personal: AGNALDO FERNANDES - associado à PSOL; Decano do CCJE: VITOR MARIO IORIO - associado à PSOL",1,20
14,"Para um V.C. que odeia ou gosta de Bolsonaro, escutem este vídeo até ao fim — vale a pena ouvir até ao fim — depois do qual o V.C. vai ter discussão e compreender todo o jogo da política.",1,21
15,"André Valadão é casado com Cassiane Valadão aos 16 anos, e tem dois filhos, Lorenzo e Vitorio. Actualmente lidera a Igreja Baptista de Lagoin em Orlando, Estados Unidos da América, e tem pastorizado durante 17 anos na Igreja Baptista de Lagoin na BiH, onde o seu pai, Marcio Valadão, tem sido pastor durante mais de 44 anos.",1,22
16,"Paraná As pesquisas registadas na TSE: MITO *Bolsonaro* ganha todos os estados, porque as pessoas querem renovação! ___________________ Acre: Bolsonaro 64,18 % ___________________ Alagoas: Bolsonaro 48,36% ___________________ Panamá: Bolsonaro 72,29 % ___________________ Amazonas: Bolsonaro 56,18 % ___________________ Bahia: Bolsonaro 69,62% ___________________ Ceará: Bolsonaro 57,46 % ___________________ *Registre federal*: Bolsonaro 71,25 % ___________________ *Saint Spirit*: Bolsonaro 80,70 % ___________________ *Goiás*: Bolsonaro 77,25 % ___________________ Maranhão: Bolsonaro 68,90 % ___________________ Mato Grosso: Bolsonaro 60,36 % ___________________ Mato Grosso Sul: Bolsonaro 54,55% ___________________ Minas:;Bolsonaro 62,81% ___________________ Paris: Bolsonaro 49,67% ___________________ Paraíba: Bolsonaro 60,91 % ______ Paraná: Bolsonaro",1,24
17,Votem lá e vejam! Vamos ver se o ibop está certo.,1,25
18,O nome ADELIO BISPO DE OLIVEIRA RG 0010166389 Nascimento 06/05/1978 Sexo M Naturalidade MONTES CLAROS UF MG Nationalidade BRASILEIRA O nome da mãe MARIA BISPO RAMOS DE OLIVEIRA O nome do pai JOAO JOSE DE OLIVEIRA,0,26
19,"Entretanto, no Jornal Nacional: Bonner: — Subsecretário, o senhor diz que está a favor de armar o cidadão para que ele se proteja, e também diz que é capitão de reserva e está armado, então porque não o impediste de pegar numa faca? Bolsonaro: — Bonner, uma faca é uma faca: as pessoas não esperam, tiram-na de repente.",0,27
20,"Aquela cara deu-me um abraço e uma botella para curar a ferida, e vou partilhar isso convosco até que seja identificada.",1,28
21,"Só recebi uma notícia do G1, a candidata da Net, Marina Silva, foi atacada, encontrá-se num saco de compras de Jequiti, e está bem, mas ainda é feia, feia, feia, feia.",1,29
22,Quem tem uma ex-campagneira porque não era suposto ser uma pessoa bonita?,0,30
0,"Este psiquiatra que está a analisar a esclavitude de esquerda é creditado com o título ""Honoris Causa"" — notável pelo seu poder sintético.",1,31
23,O nome da igreja que está a pagar aos quatro advogados na cara que disparou o Bolsonaro apareceu: Igreja*PTcostal* (Church of Peace).,1,32
24,"Vamos apenas dar-vos um impulso na candidatura do mito, e no YouTube, tudo o que têm que fazer é clicar naquele link, falsifica-lo e registar-se para o canal, outra coisa importante, e pedir às pessoas que conhecem que façam o mesmo, e o canal já tem 700 000, e toda a informação sobre o mito está lá, BOLSONARO TV, vejam-no nos seus grupos, vamos apostar cinco milhões no canal, vamos ganhar aquelas eleições e acabar com a corrupção nesse país.",0,33
25,Ele perguntou a Ciro sobre o nome de código SARDINHA no lixo. A sua entrevista no JN não saiu da corrupção desde que ele estava na prisão. BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17 BOLSONARO 17,0,35
26,"A festa da menina? Sem mãe. Peppa Pig? Sem mãe. Avengers? Sem mãe. O mundo da Bita? Sem mãe. Cocorico? Sem mãe. Batman, Captain America, Hulk, Carros, Incribles, Minions, Mickey, Patrulha Canina, São Paulo, Palmeiras, Corinthians, Santos, Flamengo — sem mãe... papa... que tema V.C. querem para a vossa festa?",0,36
27,"Antes de decidirem pelo que vão votar, escutem o Padre Marcelo Rossi.",1,37
28,"O BRASIL VERA A TRAVAR No dia 17 de setembro às 17h00, o Brasil vai aprender o poder do dia 17: foguetões de queda, tanques de combate, sirenas de fogo, se estiverem num carro com barulho, etc. Fazem barulho. É hora de mostrar quem está com Bolsonaro. Partilhá-lo com os vossos amigos. No dia 17 de setembro às 17h00, um minuto de barulho. Envio-o a 17 amigos, e pedi-lhes para o partilharem com mais 17.",0,38
29,Colocámos uma tira na segunda Avenida do rio Sampa com as palavras suivantes: Quem é louco Bolsonaro? Olhem para o resultado!,0,39
30,"Uma mãe com um filho na vena e atacada por terroristas Squereda que apoiam Lula e Haddad, apenas por terem um Bolsonaro no seu carro, Squereda Building US Tolerance!",1,40
31,"É uma piada da nova campanha de Bolsonaro. Devia ser lançada no segundo lugar, eles pegaram na faca. Chegou ao topo!",0,42
32,"O professor da UFC, da Universidade Federal da Serra Leoa, vai para a universidade para dar aulas na sua camisa de Bolsonaro, e é brutalmente picado e humilhado, e é tão picado por estudantes e professores que ele está mesmo irritado. (Risos) (Aplausos) De quem é que vem esse discurso de ódio?",1,44
33,Correm para o presidente! Quem é o vosso candidato? Votem e vejam quem ganha as eleições de 2018. Correm!,1,46
34,"Cheguei por 10 dólares de cada 100 dólares Cheguei por 15 dólares de cada 100 dólares Shoe por 25 dólares Chain por 19 dólares Mas entrar no escritório da P.T., andar de cavalo e gritar, """" BOLSONARO, """" não vale a pena. (Risos)",0,47
35,"Após quatro anos, os brasilianos perceberam que aquele póster, tão emvergonhador, era um sinal digital que o país precisava de mudar.",0,48
36,"Golpe, Golpe, Golpe — Adelio foi autorizado a ser entrevistado a sexta-feira, o quinto após o fim das eleições. Foram fontes confiáveis e dignos que viram os textos. Ele vai dizer que foi ele mesmo que organizou tudo. Ele vai contar-vos todos os pormenores. Não acreditem os meus irmãos, ele vai ser a última carta nazi notadora daquele verme vermelho gentil. A TV vai estar a comentar a noite de sexta-feira, sábado e domingo, quando Bolsonaro não vai ter nenhuma forma de se defender. TEMPS Q PREPARE EVERYT O WORLD THROUGH NOW. Pensem em todos os vossos amigos e irmãos, passam este texto urgentemente, e para as montanhas p não assustem ninguém. Deus será conhecido nesta batalha contra as hostesses do inferno.",1,49
37,"Vamos dar """" não gostar """" aos vídeos de artistas do """" rock 'n' roll """". """" Não gostam? """" clicam no link, o vídeo aparece, e o vídeo aparece na vossa mão. (Risos) (Aplausos) A diferença entre """" não gostam """" e """" não gostam """" é enorme. (Risos) (Aplausos) Anitta Daniella Mercury Letícia Sabatella Letícia Colin Marília Mendonça Clip """" Não gostam """"",1,50
38,"Hoje, sem política. ♫ ♫ Então eu desejo-vos muito bem. ♫ ♫ Um dia, ♫ ♫ no último fim-de-semana, ♫ ♫ a chuva vai parar, ♫ ♫ vocês que fazem parte dela, ♫ ♫ o sol brilhará amanhã, ♫ ♫ não haverá mais problemas para vocês, ♫ ♫ a alegria vai reinar, e ♫ ♫ eles vão ficar exaustos, ♫ ♫ o tempo total... ♫ ♫ Um abraço forte. ♫ ♫ outubro é o dia. ♫ ♫ Obs: a política está aqui. ♫",0,52
39,É urgente! Vejam um orçamento para o desporto para as nossas sociedades e corporações!,0,53
40,Sumário de um amigo morto: Dilma de Pimentel de Lindbergh de Suplicy de Eunice de Jean Willis de César Maia de Vanessa Graziotin de Edson Lobão de Jorge Viana de Sarney filho de Roseana Sarney de Conclusão: Moro vai ter um emprego,1,54
41,"Ele está a pedir um aditivo ao seu WhatsApp. É para eles controlar quem está com ele e o seu pai. Pode espalhar-se. É da sua campanha. Não é para telefonar, apenas para enviar mensagens de texto. O objetivo é seguir quem está com ele e o seu pai. Ele pode adicionar ao seu WhatsApp sem medo.",1,56
42,"Qualquer pessoa interessada pode: Hoje às 10:30 da manhã no Globo News, o milheiro brasileño Jair vai ser entrevistado por 12 repórteres globais — vamos dar uma olhadela. A rede Globo não está a informar como deveria, por isso não é preciso enviar tanto Ibop ao milheiro brasileño.",1,58
43,"Vamos olhar. Isto é muito sério. Ciro, que vai apoiar o PT na segunda vez, diz aos militantes que o programa de aborto deve ser deixado para obter votos da igreja.",1,59
44,"Ei, Datafolha lançou uma nova ronda de pesquisa nas eleições presidenciais — Eu votoi para aquela que gostava de ganhar. (Risos) (Aplausos) Façam a vossa parte aqui: A vossa opinião é importante para o Brasil.",1,60
45,Declaro que o meu povo vai fazer dois anos com este incrível poema de Vicente Campos em homage ao povo do Noroeste. Voto na cassa gentil No filho da fox Na cauda negra do cão Na cresta do urquino No filho de uma rapariga No camião vejo o Fenemê num cavalo bem-judo Na cauda da fox Voto na fox cu Mas não voto para a PT. Voto na fox Voto na cauda da fox comigo ninguém pode Na mango-ferna Na abraço de uma guara Na cavia Não quero uma espada Em muitas mosquitas No fumo de um camião dei-me no contramão Mas não voto para a PT. Voto na cobra de uma spata Na catina das barbearias Na rapera,0,61
46,"Os meus amigos, depois de ouvir esse audio, tenho de reafirmar a minha admiração pelo excelente Alexander Garcia, """" Uma crítica perfeita, a quem devo. """" Ele é o melhor jornalista do país. (Risos) Por favor, partilham-no. (Aplausos)",0,62
47,"Monitorizando a BTG que acabou de sair dos mercados financeiros: (Bolsonaroo) 63%; (Haddad) 37%. (Risos) PS: Votos válidos. Precisamos de conseguir que isto se esteja espalhando ao máximo possível, porque os institutos de investigação que foram adquiridos vão começar a divulgar pesquisa falsa onde Haddad, em apenas três dias, está a aproximar Bolsonaro. (Risos) Querem manipular a pesquisa para travar os resultados. (Risos) Partilhem!",1,63
48,O agricultor Tamboril imita o mito de 15 hectares com a cara de Bolsonaro Goiatuba-Go.,1,64
49,A música é o tema da segunda ronda da campanha da PT.,0,65
50,"ATTENção Cótica: O PT está a tentar pôr as mãos nas coisas para se certificar que a CNBB gere bem o meu pai. Parem. Eles estão a espalhar o artigo de necrologia como se fosse a declaração oficial da CNBB. Haddad, inteligentemente, teve uma audição no 11 de outubro de 2018 com o Secretário General da CNBB e essa visita foi ampliamente disseminada para que mais tarde as imagens pudessem ser usadas para tornar claro que o candidato do PT recebeu apoio oficial da CNBB. É pura e simplesmente uma estratégia para enganar os católicos! A CNBB publicou um aviso oficial dizendo: """" Não se aplica a nenhuma das mãos!!! """"",0,67
51,"Bolsonaro não precisa do apoio de Ciro, apenas aquela entrevista vale a pena...",0,69
52,"Os resultados do voto disseram: sim, houve uma fraude, e se não formos às ruas, o Saddam vai ser presidente.",1,71
53,"Vocês conhecem o Zé? O gémeo Zé Neto e o Cristiano. Vejam o que ele fez com a Dona Creusa que estava a escavar o latín no seu programa até às 7 da manhã, a mesma coisa, ela veio à manhã a escavar o latín, e sabem quanto ela paga pelo trabalho da noite? 40,00 dólares",0,72
54,"São tão desesperados que acabaram de se suicidar, e este vídeo seria a única coisa que deveriam ter feito, e, sem dúvida, o líder da galinha não foi comunicado, e mais do que isso, vai custar vidas! Partilhem-no com tanta gente e grupos quanto puderem!",1,73
55,"O presidente da Associação LGBT diz que Haddad """" lamentava """" não reconhecer a paternidade do Kit Gay, e Haddad NEGA é hoje o pai daquele kit orientado para as crianças, e estamos a divulgar esse vídeo.",1,75
56,Vamos odiar naquele vídeo #elenao de lágrimas no escuro como é bom deixar de lado uma candidata que nem conseguiu o trabalho de encontro. (Risos) (Aplausos) (Aplausos),1,76
57,"Dá-se a pena, estamos a perder a cara — vejam a mensagem de Hadad para o Médio Oriente.",0,77
58,Em resposta ao Sr. Haddad que quer saber quem está a gerir a campanha para o Jair: Nós somos marketers para o Jair Messias Bolsonaro. Nós somos marketers para o Jair Messias Bolsonaro.,1,78
59,"Hoje, às 22h, o T.V. Record vai entrevistar Bolsonaro durante 25 minutos. Todos na gravação! O T.V. Record baterá o Globo no público! Por favor, continue.",1,79
60,"Vamos assinar a petição, e vamos mostrar à TSE que estamos a fazer campanha para o billiar universal de graça, inscrever-se e participar activamente.",1,80
61,"Pessoalmente, estão a tentar incriminar alguém que, durante toda a sua vida pública, nem sequer se tenha referido à corrupção. Peço-vos que não respeitem os links do YouTube por baixo, onde estão a tentar pressionar a Rosa Weber para falar sobre """" Bolshoi. """" (Risos) O BRASIL ESTou CONSIDErado, O CAPITão IS OVER, YOU HAVE DISLIKED HER. (Risos) Wladimir Brichta Antiga católica Camila Pitanga Zezé Polessa Sophie Charlotte e outros Igor Angelkorte Eu não respeiço toda a gente e denuncio todo o conteúdo de ódio e abuso",1,81
62,"Deathrash: *Anitta X Bolsonaro * Depois de se juntar à #elena e de receber muitos #dislikes, Anitta decidiu não publicar nenhum vídeo no mês passado no YouTube, mas ao mesmo tempo lançámos o canal infantil """" Clube da Anittinha """", onde ela é a estrela do sitcom deste miúdo, e vamos receber muitos #dislikes também. Vejam os links, basta entrar e obter um dislike, se também puderem comentar o vídeo. 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 11 - 12 - 13 - 14 - 15 - 16 - 17 - 18 - 19 - 20 - 21 - 22 - 23 - *Ajudá a partilhar *",1,82
63,"O CBF ameaça punir o Paraná Clube. O tempo está a acabar com 17 pontos na mesa do Brasil, e a suspeita é que o Clube está a fazer campanha para Bolsonaro.",0,83
64,"Pessoalmente, nos grupos, as caixas eletrónicas TRE estão agora a ser introduzidas um pouco em particular carros para a floresta tropical da Amazónia.",1,85
65,"O substituto do PT Wadih Damous diz que """" tens que fechar a Corte Suprema Federal. """" O PT pode dizer isso, o que ninguém acha absurdo.",0,86
66,"A galinha animal acabou de cometer um suicídio político, e esse vídeo seria a única coisa que deveriam ter feito, e certamente o chefe da galinha não foi comunicado, então vejam-no e vão por todo o mundo.",1,87
67,"Seguir o BTG que acabou de sair do mercado financeiro: (Bolsonaroo) 77%; (Haddad) 23%. (Risos) PS: Votos válidos. Precisamos de espalhar-nos o mais possível, porque os institutos de investigação que foram adquiridos vão começar a revelar a pesquisa falsa onde Haddad, em apenas três dias, está a aproximar Bolsonaro. (Risos) Querem manipular a pesquisa para travar os resultados. Partilhem-na gratuitamente!",1,88
68,"Lewandowski exigiu que fosse fechado para o público e não transmitido. De acordo com Lewandowski, as pessoas estão a ser instigadas a odiar o STF. Não há razão, porque todas as decisões são baseadas na constitução e as pessoas são ignorantes, não têm a capacidade de discernir o que eles decidem. Vamos aceitar isso em silêncio? Vamos partilhá-lo para alcançar o maior número de pessoas possível.",1,89
69,"Ok, Geraldo Azevedo, você foi torturado pelo General Mourão, Vicepresidente de Bolsonaro em 1969, apenas um detalhe que o Tribunal Supremo esqueceu sobre as suas mentiras: Em 1969, Mourão tinha 16 anos, era estudante universitário militar, e ainda não tinha entrado no exército.",0,91
70,"Há um vídeo naquele site, num programa, onde aquele IDIOT está a cobrir a sua tortura.",0,92
71,"Este é o verdadeiro vídeo da escola [Bolsonar]. Vejam como foi modificado intencionalmente para desrepresentar os fatos. De novo, a imprensa esquerda e esquerda mentirau e enganou no vídeo original, publicando uma versão completamente diferente do que o filho de Bolsonar disse. (Risos) (Aplausos) (Aplausos)",0,93
72,"Ouçam o que diz Jayme Monjardim, que compreende e floresce na publicidade e na televisão.",1,94
73,"Uma galinha em férias em São Paulo vai para o zoológico, e, de repente, vê uma menina desesperadamente a aproximar-se do limite da gaiola do leão, e o leão ataca e tenta empurrá-la para dentro da gaiola para a matar, e os pais olham para ela com horror, e a galinha corre e bate o nariz no rosto do leão, e o leão tira-a fora, e um repórter do São Paulo Post observa como a cena se desenrola e diz à galinha: """" Senhor, este foi o acto mais nobre e corajoso que alguma vez vi na minha vida, e tenho a certeza que este acto de heroísmo não vai desaparecer. Sou jornalista, e amanhã o jornal vai pôr a história na primeira página, e além disso, qual é a sua profissão, e qual é a sua posição política? """"",1,95
74,A maior campanha do aniversário do sonho do Supermarket de Paraná desta semana atrai a vossa atenção para:,0,96
75,"Urgente! Urgente! Urgente! Usar autocarros na campanha para Haddad poderia levar à queda da candidatura. TSE e agora??? Vamos passar este vídeo, pessoal. Não é para comentar, é para partilhar.",0,97
76,"Sem palavras, apenas libertem-no na caixa de entrada e pedem a toda a gente a fazer a mesma coisa ao mesmo tempo, e dentro de um minuto vai haver uma mensagem por todo o lado.",1,98
77,Param nos grupos para verem se os TSE nos vão vergonhar até domingo e assegurarem-se de que não somos estúpidos.,0,99
78,"O salto da esquerda é este: a viagem de Ciro Gomes para a Europa foi premeditada. Um teatro para implementar a seguinte narrativa: ele sai da cena, isto é, teoricamente ele não apoia o Haddad, e, de repente, ele volta — e, de facto, de acordo com o Stasi, ele está a aproximar-se hoje — a não ser que haja mais pesquisa a ser feita para revelar, para que, se não """" explotarem """", se de facto acontece, a ascensão de Haddad """" ganhe """" milhões de votos em dois dias. Finalmente, o novo facto, que a imprensa já publique conscientemente, ao longo do tempo, que seria a única coisa a voltar aos votos. Isto é, tudo articulado, para acontecer exatamente como na primeira ronda, onde o apoio de Lula aumentou o posto em poucos dias",1,100
79,"Os grupos patrióticos pro-bolhóricos estão a pedir a toda a gente que pegue no boletim, o boletim individual, ponha o número 17 no seu campo, tira uma fotografia dele, enviou-o ao representante das redes sociais nacionais de Bolsonaro, então eles terão a prova por sessão, por local, etc. Se eles provarem mais de 60 milhões de votos válidos, e eles não aparecerem no boletim, isso prova fraude, e com os Advs, eles provam fraude nas eleições, e eles terão que o enrolar de volta para as células de papel. É uma boa táctica. Passem essa ideia a tanta gente quanto puderem. 50+1 já prova fraude se existe.",1,101
80,"ALECção DE BOLSONARO: Bolsonaro tem hoje 30% do total de votos, de acordo com a melhor pesquisa. São 45 milhões de votos! Agora compreendam uma coisa: Se cada eleitor que votara em Bolsonaro também votaria para um candidato para o viceministro federal do seu partido, ou então só votaria no sinal (PSL 17) - dizia 17 - e batesse na caixa verde, JAIR BOLSONARO terá entre 120 e 140 candidatos para o viceministro federal! Isso faria que muitos candidatos dos partidos centrais (PMDB, DEM, PP) não fossem eleitos. A mesma estratégia para as eleições ao Senado e aos senadores de estado. Esta posição sem precedentes, nunca aplicada na história política do país, faria que o banco (PSL 17) fosse superior a todos os outros bancos candidatos. Cabe a vós.",0,102
81,"Esta quarta-feira, 5 de setembro de 2018, em Palmas, às 6h00, na Praça da Sol, em frente do Rio Sono Hotel, vamos continuar o nosso """" Rolo do Mall """" onde vamos discutir ideias e falar sobre os movimentos futuros assim como toda a informação sobre os participantes e camisas. *Todos que têm uma camisa de Bolsonaro. * Galeria Confirmada: ✅ Flávio Mota ✅Fernandez ✅Gabriela ✅ Josimar ✅Rafael ✅Vanessa ✅Lucas Belinelle 17000 ✅Lucas Magalhães ✅Osmir ✅Gerry ✅denis ✅junimar ✅eddi ✅Alexandre ✅alessa ✅Waldez ✅Ernani ✅Lucas Carvalho ✅Demetrio ✅ Ulisses Edgar ✅",0,103
82,Vale a pena aprofundar o testemunho da Renata Schwab.,1,104
83,"Todas camadas limpas, sem colas ligadas à antiga política.",0,105
84,"Esta quarta-feira, 5 de setembro, 2018 em Palmas, às 6h da tarde, na Praça da Sol, em frente do Rio Sono Hotel, vamos continuar o nosso """" Rolo do Mall """" onde vamos discutir ideias e falar sobre os movimentos futuros assim como toda a informação sobre os participantes e camisas. * Todos a usar a camisa de Bolsonaro. * Poster confirmado: ✅ Flávio Mota ✅Fernandez ✅Gabriela ✅ Josimar ✅Rafael ✅Vanessa ✅Lucas Belinelle 17000 ✅Lucas Magalhães ✅Osmir ✅Gerry ✅denis ✅junimar ✅eddi ✅Alexandre ✅alessa ✅Waldez ✅Ernani ✅Lucas Carvalho ✅Demetrio ✅ Ulisses Edgar ✅",0,107
85,"Esta quarta-feira, 5 de setembro de 2018, em Palmas, às 6h00, na Praça da Sol, em frente do Rio Sono Hotel, vamos continuar o nosso """" Rolo do Mall """" onde vamos discutir ideias e falar sobre os movimentos futuros assim como toda a informação sobre os participantes e camisas. *Todos que têm uma camisa de Bolsonaro. * Galeria Confirmada: ✅ Flávio Mota ✅Fernandez ✅Gabriela ✅ Josimar ✅Rafael ✅Vanessa ✅Lucas Belinelle 17000 ✅Lucas Magalhães ✅Osmir ✅Gerry ✅denis ✅junimar ✅eddi ✅Alexandre ✅alessa ✅Waldez ✅Ernani ✅Lucas Carvalho ✅Demetrio ✅ Ulisses Edgar ✅",0,108
86,"Olá, enviei uma petição à administração pública dizendo: """" Retirado da UFRJ da administração Imperial do Palacio da Quinta Avenida. """" Gostariam de assinar esta petição? Clica aqui: Muito obrigado!",0,109
87,"A lista dos 23 senadores não-electos — olhem para ela, escrevam-na. #no-eleção #no-millonário A lista dos senadores envolvidos no voto tem que ser enviada a todos os estados. Qualquer um que tenha amigos noutro estado mantém a lista, e vamos tentar enviá-la por todo o país.",1,110
88,Eu penso que o MULDER podia ser justo. Eu penso que o MULDER podia ser justo. Eu penso que o MULDER podia ser justo. Eu penso que o MULDER podia ser justo. Eu penso que o MULDER podia ser justo. Eu penso que o MULDER podia ser justo. Eu penso que o MULDER podia ser justo. Eu penso que o MULDER podia ser justo. Eu penso que o MULDER podia ser justo.,1,111
89,"Aqui está o perfil da classe do Rector da UFRJ responsável pela manutenção e apoio do Museu Nacional: Rector: ROBERTO LEHER - PSOL; Vice-Rector: DENISE FERNANDES LOPEZ - PSOL; Rector de pós-graduação: EDUARDO GONCALVES - PCB; Pro-Rector de planeamento, desenvolvimento e finanças: ROBERTO ANTONIO GAMBINE MOREIRA - PC DO B; Pro-Rector de Extensão: MARIA MELLO DE MALTA - PSOL; Pro-Rector de Personal: AGNALDO FERNANDES - PSOL; Decano do CCJE: VITOR MARIO IORIO - PSOL",1,113
90,"Queridos irmãos e irmãs, paz de Deus, ensinam-nos a não nos envolver na política ou na política do partido, mas a exercer o nosso compromisso de cidadania, ou seja, votar de acordo com a nossa consciência, a analisar e escolher os candidatos que nos vão representar, a evitar votar para os ateistas, os candidatos comunistas e aqueles que estão contra o trabalho de Deus, e ainda assim, nada nos impede no dia das eleições de irem ao """" BOLSO """", ao """" HINÁRIO. """" (Risos) (Aplausos) (Aplausos)",0,114
91,"Acre (AC) Alagoas (AL) Amapá (AP) Amazonas (AM) Bahia (BA) Ceará (CE) Distrito Federal (DF) Espírito Santo (ES) Goiás (GO) Maranhão (MA) Mato Grosso (MT) Mato Grosso do Sul (MS) Minas Gerais (MG) Para (PA) Paraíba (PB) Paraná (PR) Pernambuco (PE) Piauí (PI) Rio de Janeiro (RJ) Rio Grande do Norte (RN) Rio Grande do Sul (RS) Rondônia (RO) Roraima (RR) Santa Catarina (SC) São Paulo (SP) Sergipe (SE) Tocantins (TO) Ei patriótico, estou a vir através disto, convidando-vos a fazer parte da rede de apoio para o presidente Jair Bolsonaro. Escolham o grupo que se adapte ao vosso estado. Como vocês estão aqui, são muito bem",0,115
92,"Alguém sabe de Pernambuco ou de algum grupo de Bolsonaro? Há um rapaz de 15 anos que diz que está a ser ameaçado na escola por defender o seu Bolsonaro, que tem de chegar aos grupos de Pernambuco.",0,116
93,"Todas as palmeiras que estão com Bolsonaro, conheço-me hoje na praça de pôr-do-sol às 18:30 para apoiar a recuperação do nosso presidente, carregando bandeiras, perlas, vultures.",0,118
94,"Todas as palmeiras que estão com Bolsonaro, conheço-me hoje na praça de pôr-do-sol às 06h30 para apoiar a recuperação do nosso presidente, removem bandeiras, escaravelhos, vultures. Vamos fazer um grito de guerra para o Brasil ver",0,119
