,text,misinformation,index
15944,"Recebemos hoje a triste notícia do falecimento da diretora Kátia Vieira, da E.M. Professora Maria Helena (10.26.019) 10⁰ CRE. A unidade escolar reabriu na última semana, seguindo as orientações estabelecidas pela prefeitura do Rio de Janeiro, e em poucos dias ela faleceu por covid-19. Lamentamos profundamente e destacamos que esse fato deve alertar toda a rede quanto à reabertura das escolas para atendimento. Sabemos que atividades escolares envolvem riscos enormes a todas as pessoas envolvidas no cotidiano escolar: direção, funcionários, professores, alunos, responsáveis e até moradores próximos à unidade escolar. Começamos a presenciar as graves consequências de atitudes irresponsáveis como a reabertura das escolas neste momento. Precisamos (re)agir e evitar que outras vidas sejam perdidas. Pedimos ampla divulgação deste texto para conhecimento da real situação das escolas municipais do Rio de Janeiro. A Secretaria Municipal de Educação lamenta o falecimento da diretora Kátia Vieira. E lamenta também a tentativa de uso indevido de um falecimento na busca de polêmicas infundadas, porque NÃO HÁ qualquer ligação entre o óbito da gestora com a escola. Deplorável tentar fazer esta associação. A diretora Kátia Vieira, que relatou ter problemas cardíacos, não estava participando da rotina da Escola Municipal Professora Maria Helena Sampaio Marques, em Guaratiba, justamente por ter comorbidade. A coordenadora da 10CRE, Gracinha Muller, combinou com a diretora Kátia Vieira que a diretora-ajunta, Jacira Alves de Almeida, ficaria como responsável pela escola neste período de reabertura para a limpeza do lugar. A adjunta contou com o apoio da coordenadora pedagógica Cristina Magalhães Honório para a reorganização da unidade.",1,15944
14601,"Quem melhor descreveu essa marcha da insensatez foi o Alexandre Garcia, que comentou",1,14601
15150,Governador João Dória anuncia “Lei Seca” proibição da venda de bebida alcoólica em todo o estado de São Paulo adoção rigida no combate ao Covid19. https,1,15150
14771,"REPÓRTER DA GLOBO NEWS CHAMA BRASILEIRO DE “POBRE ESTÚPIDO”, APÓS MELHORA DA POPULARIDADE DE BOLSONARO EM PESQUISA",1,14771
5481,"Whatsapp lançou novas cores, ative a sua agora 
👉🏻 http://шнатѕаррѕ.com/?cores",1,5481
14511,"Polícia apreendeu um caminhão vindo do Paraguai aparentemente vazio. Policial experiente notou motorista meio nervoso. Não deu outra. Milhões de dólares da quadrilha petista. O bicho vai pegar essa semana. Polícia Rodoviária federal, prende milhões e milhões de dólares na Dutra ontem, dinheiro dos partidos políticos comunistas corruptos! Parabéns Polícia Rodoviária federal. Parabéns Sérgio Moro. Parabéns Governo Federal de BolsonaroA POLICIA FEDERAL apreendeu um caminhão aparentemente vazio vindo do Paraguai. Um experiente Agente da PRF notou o nervosismo do motorista e iniciou uma vistoria minuciosa. Não deu outra! Milhões de dólares de quadrilha que certamente iriam sustentar traficantes, milícias e talvez partidos políticos que lutam para detonar o Governo Bolsonaro. Parabéns à Polícia Rodoviária Federal.O BICHO TÁ PEGANDO.Indo pro Paraguai, a PRF num golpe de sorte, parou o caminhão numa blitz normal e depois de algumas perguntas pro motorista tipo onde ia vazio este se mostrou nervoso dai foi só procurar e achar milhões de dólares. Mais uma fortuna do nosso dinheiro que foi roubado na corrupção da era PT sendo levado para fora do Brasil. Agora a coisa é diferente, a Polícia realmente trabalha para combater este tipo de crime e outros que eram permitidos nos últimos anos, não esquecendo das apreensões recordes de cocaína que antes passava livremente. Significa que até a corrupção da Polícia diminuiu",1,14511
7440,"“veja aí um trabalho de sociologia e filosofia de vida apresentado pelos alunos de sociologia/filosofia dá ufrj – universidade federal do rio de janeiro. se vocês entender, por gentileza me explica!”., “repassando: ufrj – universidade federal do rio do rio de janeiro. esta esculhambação, nesse “belo” trabalho de sociologia e filosofia de vida na ufrj. trabalho de profunda abordagem, em lumes verdes, projetados de retos faiscantes.estão me parecendo vagalumes cintilantes. pqp”.",1,7440
11936,"Esquiadora Desligada é Perseguida Por Urso e Nem Percebe (No Fone Ela Ouve: “Work”, da Rihanna). Você já deve ter ouvido alguém falando que usar fones de ouvido pode ser algo perigoso em diversas situações, mas, no caso da snowboarder Kelly Murphy, o acessório também evitou que ela morresse de susto – e também não desse a mínima para o perigo que ela correu.Isso porque, enquanto se preparava para uma descida tranquila de snowboard em uma montanha no Japão, fixando suas botas e cantarolando a música “Work”, da Rihanna, a moça não conseguiu ouvir o barulho de nada menos que um urso completamente alucinado correndo atrás dela.",1,11936
2228,"Resultado Final deu como positivo a fraude no primeiro turno!! Não deixem de ver esse video do Brasil Paralelo, nossa democracia está em jogo e tem países como a Venezuela, Siria e Irã envolvidas
Favor compartilhar ao máximo de pessoas! 
Isso é gravíssimo",1,2228
11492,"Um grupo de radicais colombianos foi até a Alemanha para apoiar grupos de ultra direita contra a imigração de refugiados sírios, e apanharam brutalmente por terem sido confundidos justamente com os próprios refugiados sírios. Confira na foto a fuça de raça ariana dos caras.",1,11492
13958,"Maculopatia (câncer de olho) e uso móvel no escuro Eu, Rubén Díaz Granados (oftalmologista), minha boca está quebrada para dizer isso, mas as pessoas são surdas. Em um curso que fizemos em Medellín como consultor sobre energias eletromagnéticas, habitat e meio ambiente, eles nos enfatizaram",1,13958
15310,C O M P A R T I L H E M A REDE GLOBO PODE SER FECHADA 21 DE ABRIL AGORA EM 2020 ASSISTA O VÍDEO.,1,15310
16613,"URGENTE – Lula já tem data e hora para ser posto em liberdade!. Lava jato em xeque! O povo foi as ruas e pediu Lula livre agora e o STF ouviu! Assista ao vídeo e veja a reportagem sobre a data que Lula poderá ser posto em liberdade! Basta de prisão política no Brasil!


Mais perto do que imaginávamos! Lula pode ser posto em liberdade! Vitória do povo brasileiro! Novo recurso acontecerá no STF, assista ao vídeo com reportagem!
Em menos de uma semana! O ex-presidente Lula será julgado pelo STF em meio a Copa do mundo! Assista a reportagem.
Lula é a esperança do povo brasileiro, nosso companheiro e líder! Lula livre já

Assista a reportagem completa no final da página e entenda melhor sobre a liberdade de Lula!",1,16613
14316,"FARC GRAVA VÍDEO E AMEAÇA GOVERNOS DA AMÈRICA DO SUL. No vídeo os integrantes das FARC de um local nas montanhas da Colômbia , dizem que todo o povo deve pegar em armas e se unir contra os governos imperialistas , por toda a América do Sul , eles também ameaçam a todos líderes de países da América do sul com governos ditos de direita , inclusive o presidente do Brasil Bolsonaro .",1,14316
15085,"Ministro Alexandre de Moraes Determina a PRISÃO PREVENTIVA da Sara Winter, Isso é uma Afronta a Nossa Democracia! Força aí Amiga, Agora é assim mexeu com um dos Nossos Mexeu com TODOS! #SUPREMOÉOPOVO Hora de Cercar o STF",1,15085
12576,"BOLSONARO SOB AMEAÇA! REPASSEM URGENTE! SARNEY ESTÁ FURIOSO E JÁ SE REUNIU COM TEMER, DILMA, E A GLOBO E FIZERAM UMA AMEAÇA CONTRA BOLSONARO,DIZENDO Q ELE GANHARÁ MAS NÃO ASSUMIRÁ GOVERNO, SERÁ IGUAL O QUE FIZERAM COM O PRESIDENTE TANCREDO NEVES.Pessoa isso é muito sério! AGORA Como eles viram que já perderam nas urnas fraudadas, agora partiram para ameaça de morte! A reportagem divulgada hoje, SARNEY AMEAÇA BOLSONARO dizendo que “Vence mas não assumirá o cargo” Está mais que claro que nosso batalha não será apenas no dia da votação, nossa batalha é contra o Mau. REPASSEM ESTA INFORMAÇÃO ANTES QUE SEJA REMOVIDO DO WHATSAPP E FACEBOOK PELA TV GLOBO.",1,12576
6023,"Recibo do jogo do bicho nas favelas do Rio de Janeiro. Coincidentemente, veja em quem eles pedem que os clientes votem. Os criminosos se ajudam. 
👇🏼👇🏼",1,6023
16731,"Após nova acusação de assédio, repórteres esperam só voltar a entrevistar Biel na cadeia. Após ter sido acusado de assédio sexual por uma repórter do iG e se envolver em um acidente de trânsito no interior de São Paulo, Biel acaba de ser alvo de mais uma denúncia. O cantor foi acusado de injúria por outra jornalista e novamente vai ser intimado a depor. O caso teria acontecido no mesmo dia em que a repórter do iG teria sofrido o assédio, em um encontro de Biel com a imprensa para divulgar um novo CD.
Ao saberem do novo caso, repórteres de todo o Brasil anunciaram que só aceitarão entrevistar Biel novamente se for com ele em uma prisão. “Estamos disputando no palitinho para ver qual de nós vai entrevistá-lo quando ele estiver na cadeia.
 disse a repórter Gabriela Azevedo.
Alguns conhecidos do cantor disseram que até que não seria uma má ideia ele ser preso. “Na cadeia ele só teria a leitura como forma de passatempo. Faria bem a ele.
 disse um amigo que preferiu não se identificar.
Veja também: 9 declarações que provam que MC Biel lançou o gênero babaquice ostentação,Bruno Machado",1,16731
16726,"Luma de Oliveira adere à campanha e pede libertação de bombeiros. A ex-modelo Luma de Oliveira aderiu à campanha pela libertação dos bombeiros no Rio de Janeiro e apareceu hoje vestida de vermelho. Luma protesta contra a prisão dos bombeiros que invadiram o quartel da corporação e estão em campanha salarial. Em todo o Rio, pessoas desfilam com fitas nos seus carros, demonstrado apoio aos soldados. Luma explicou sua posição: “Manter os bombeiros presos é um absurdo. Em uma donzela em chamas, cheia de fogo, precisando da mangueira de um bombeiro.
 disse.
Otileno Junior",1,16726
14670,"Devolvam nosso futuro”, diz o estudante e diretor da UNE Thiego Lula da Silva, 33 anos, há 15 matriculado no curso de ciências sociais da Universidade Federal de Pato Branco #ESTUDANTEPROFISSIONAL“Devolvam nosso futuro”, disse o “estudante” e diretor da UNE Thiego Lula da Silva, 33 anos, há 15 anos matriculado na UFPB.DEVOLVAM NOSSO FUTURO! Gritou o diretor da UNE, Thiego Lula da Silva, 33 anos, há 15 matriculado no curso de ciências sociais da Universidade Federal de Pato Branco.ESTUDANTE PROFISSIONAL! O CARA PRETENDE SE APOSENTAR COMO ESTUDANTE. CARA DE PAU! “Devolvam nosso futuro”, diz o estudante e diretor da UNE Thiego Lula da Silva, 33 anos, há 15 matriculado no curso de ciências sociais em uma Universidade Federal.",1,14670
15244,..E OS CAIXÕES VAZIOS ENTERRADOS EM MANAUS PARA TOCAR O TERROR.. .. ALGUÉM IRÁ VISTORIAR??,1,15244
15868,Veja o casamento do filho do dono arroz Tio João. Outro nível!! Isso que é ostentação!,1,15868
7859,"fraudes em mg, provadas. todos os boletins de urna cerca de 3 x 1 para bolsonaro. olha as fraudes em mg. compartilha até chegar na pf. só para entender o que isso está fazendo aí.",1,7859
14664,"“Oi, minha querida. Bom dia. Aí, não é montagem não, é verdade. Foi uma colega minha que mandou do interior. Eu aí não é negócio de dizer que aí é montagem, essas coisas não. Aí é verdade. O homem que andava com uma cabra, pra cima e pra baixo, era criatório dele mesmo. Aí,quando a cabra tava prenha, o pessoal começou a desconfiar. Quando a cabra pariu dentro do mato, o pessoal foi atrás. Quando chegou, que foi atrás, encontraram isso daí, ó. Só foi um sozinho mesmo. Cê vê que chora que nem criança e os pézinho não é pé de gente não. O rostinho também, mas pode ver direitinho que é uma menina. É uma fêmea. É de cortar o coração, mas é re… É verdade. Isso aí não é mentira não, nem montagem não”.",1,14664
16041,"VOTO IMPRESSO VOTO AUDITÁVEL e CONTAGEM PÚBLICA CONSTATO INCOERÊNCIA na FALA do “MINISTRO LUIS ROBERTO BARROSO”. No LINK abaixo ele diz: Estéticamente muito bonita E vem se integrar a esse sistema extrairdinário de apuração eleitoral que nos temos no Brasil. E agora a noite (01/07/21 entre 20h e 20:30 ) no JORNAL da #TVRECORD, o MINÍSTRO NÃO FALA A VERDADE para a POPULAÇÃO, ele faz uma NARRATIVA que na minha OPINIÃO é TENDENCIOSA, pois está ENGANANDO os BRASILEIROS, ao AFIRMAR o RETROCESSO DO VOTO DE PAPEL.Jair Messias Bolsonaro General Hamilton Mourão #GeneralAugustoHeleno Ministério Público Federal – MPF Ministério da Justiça e Segurança Pública BRASILEIROS o que leva um MINÍSTRO a MUDAR DE OPINIÃO? Não e possivel que um MINISTRO tenha dificuldade para comprender que NADZ MUDOU, apenas vai SER ACOPLADA a IMPRESSORA. EU ESTOU ME SENTINDO ENGANADA, A SENSAÇÃO que tenho é que acham que o POVO é BOBO.",1,16041
13633,"Caco Barcellos já sentiu o amor do povo… Vc tem coragem William Boner, de sair às ruas? Vai lá testa a sua popularidade com o povo…🇧🇷",1,13633
5181,"Bolsonaro tinha 18%
Levou a facada e foi a 28%
Fizeram o ""#Elenão"" e foi a 42%
Globo e Veja o atacaram e foi a 49% quase eleito no 1o Turno 
Inventaram o ""Caixa 2"" e foi a 60%.
Alguém pode inventar alguma coisa até domingo???",1,5181
13243,Namorado de Carlos Bolsonaro também tem sigilo bancário quebrado,1,13243
16587,"Brasileiro que vendeu tudo para ir a Rússia torcer pela seleção Brasileira pede ajuda para voltar para casa. SE TA RUIM PRA VOCÊ QUE SE ILUDIU COM A SELEÇÃO, IMAGINE PARA ESSE RAPAZ QUE VENDEU CASA E O CARRO PRA IR Á RÚSSIA TORCER PELO BRASIL, PERDEU O EMPREGO E FOI ABANDONADO PELA ESPOSA E AGORA PEDE AJUDA PRA VOLTAR PARA CASA!!

Após a eliminação do Brasil na Copa do mundo, Mineiro que perdeu emprego, vendeu a casa e o carro para ir a Rússia torcer pela seleção brasileira pede doações para voltar para casa!
Alem de desempregado, sem dinheiro para pagar passagem de volta, Roberto também foi informado que sua esposa que ficou no Brasil, fugiu com o amante e deixou os 3 filhos!! “Fiz a maior besteira da minha vida, vendi tudo que eu tinha pra vim torcer por esse seleção fraca, perdi meu emprego, deixei minha mulher no Brasil e ela fugiu com outro cara, agora só quero voltar para casa e recomeçar tudo de novo, peço a Deus que as pessoas me ajudem.
 disse Roberto.",1,16587
12164,"Burger King admite usar carne de cavalo em hambúrgueres e a noticia choca o mundo. Veja!WASHINGTON (Web Desk) – Burger King quinta-feira finalmente admitiu o uso de HORSE carne em seus hambúrgueres e Whoppers. Mais cedo, o Burger King tem negado veementemente todas as acusações e tem repetidamente dado garantias as alegações não têm fundamento. Mas quinta-feira, a cadeia de fast food admitiu que os testes estão incorretos e emitiu um pedido de desculpas aos seus clientes.Burger King revelou que os hambúrgueres de carne de cavalo foram producted pela empresa de processamento de chamada Silvercrest, com sede na Irlanda e parte da Foods Group ABF.…Ps.: Esse artigo foi uma sugestão da leitora Rosemary Santos. Se você quiser sugerir um tema ao Boatos.org, entre em contato com a gente pelo site ou Facebook.",1,12164
